run_index,control_rod_height_cm,enrichment,pin_pitch_cm,k_effective_mean,k_effective_std
73,53.333333333333336,0.03,1.26,1.3020784108295587,0.0072949002859943645
74,53.333333333333336,0.03,1.42,1.3472159553045189,0.006569068127315666
75,53.333333333333336,0.045,1.1,1.2551080092128466,0.005310686369141902
76,53.333333333333336,0.045,1.26,1.3762300265970402,0.006044873544009505
77,53.333333333333336,0.045,1.42,1.4416331399220221,0.00507830698016742
78,53.333333333333336,0.07,1.1,1.31749255410642,0.005744485298536457
79,53.333333333333336,0.07,1.26,1.4256897055380042,0.005127786940744057
80,53.333333333333336,0.07,1.42,1.4939433067976866,0.006291133798992466
81,60.0,0.03,1.1,1.2355582604010709,0.006267478648815789
82,60.0,0.03,1.26,1.3385674047982048,0.005644591765813343
83,60.0,0.03,1.42,1.3807950067706218,0.004751828775926341
84,60.0,0.045,1.1,1.2948114500729273,0.0063401251820687345
85,60.0,0.045,1.26,1.4213192384469853,0.005499638878269075
86,60.0,0.045,1.42,1.474933849459588,0.0060916039815045835
87,60.0,0.07,1.1,1.3566753093303927,0.006629893940903111
88,60.0,0.07,1.26,1.4769366811288587,0.006024966896093092
89,60.0,0.07,1.42,1.5557988909437708,0.004246428134566089
